
NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
EasyScooter                                        CFMoto                                             Krzysztof Wozniak                                                                                                                68         24
EasyScooter                                        Aeon                                               Piotr Lewandowski                                                                                                                68         24
EasyScooter                                        CFMoto                                             Krzysztof Zielinski                                                                                                              67         25
EasyScooter                                        Keeway                                             Piotr Wojcik                                                                                                                     67         25
EasyScooter                                        Aeon                                               Tomasz Szymanski                                                                                                                 67         25
EasyScooter                                        Rieju                                              Tomasz Wozniak                                                                                                                   67         25
EasyScooter                                        Aeon                                               Krzysztof Zielinski                                                                                                              66         26

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Suzuki                                             Tomasz Wozniak                                                                                                                   64         27
EasyScooter                                        Keeway                                             Krzysztof Nowak                                                                                                                  64         27
EasyScooter                                        Suzuki                                             Jan Nowak                                                                                                                        62         28
EasyScooter                                        Aeon                                               Tomasz Wozniak                                                                                                                   62         28
EasyScooter                                        Rieju                                              Tomasz Wozniak                                                                                                                   61         29
EasyScooter                                        Peugeot                                            Krzysztof Wozniak                                                                                                                61         29
EasyScooter                                        Keeway                                             Tomasz Wozniak                                                                                                                   61         29
EasyScooter                                        Keeway                                             Krzysztof Zielinski                                                                                                              60         30
EasyScooter                                        Rieju                                              Jan Nowak                                                                                                                        60         30
EasyScooter                                        Rieju                                              Piotr Lewandowski                                                                                                                60         30
EasyScooter                                        Peugeot                                            Jan Nowak                                                                                                                        59         31

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Suzuki                                             Krzysztof Zielinski                                                                                                              59         31
EasyScooter                                        Aeon                                               Krzysztof Nowak                                                                                                                  58         32
EasyScooter                                        Rieju                                              Krzysztof Nowak                                                                                                                  58         32
EasyScooter                                        E-Twow                                             Krzysztof Nowak                                                                                                                  56         33
EasyScooter                                        Rieju                                              Krzysztof Wozniak                                                                                                                56         33
EasyScooter                                        Super Soco                                         Piotr Wojcik                                                                                                                     56         33
EasyScooter                                        Peugeot                                            Tomasz Wozniak                                                                                                                   55         34
EasyScooter                                        TGB                                                Krzysztof Nowak                                                                                                                  55         34
EasyScooter                                        Aeon                                               Krzysztof Nowak                                                                                                                  54         35
EasyScooter                                        Ducati                                             Krzysztof Nowak                                                                                                                  54         35
EasyScooter                                        Peugeot                                            Krzysztof Nowak                                                                                                                  53         36

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Bajaj                                              Krzysztof Nowak                                                                                                                  53         36
EasyScooter                                        Super Soco                                         Krzysztof Wozniak                                                                                                                53         36
EasyScooter                                        Rieju                                              Piotr Wojcik                                                                                                                     53         36
EasyScooter                                        Keeway                                             Tomasz Szymanski                                                                                                                 53         36
EasyScooter                                        Peugeot                                            Krzysztof Nowak                                                                                                                  52         37
EasyScooter                                        Bajaj                                              Piotr Wojcik                                                                                                                     52         37
EasyScooter                                        Super Soco                                         Krzysztof Nowak                                                                                                                  52         37
EasyScooter                                        Suzuki                                             Tomasz Wozniak                                                                                                                   52         37
EasyScooter                                        TGB                                                Krzysztof Nowak                                                                                                                  51         38
EasyScooter                                        Peugeot                                            Piotr Lewandowski                                                                                                                51         38
EasyScooter                                        Super Soco                                         Tomasz Wozniak                                                                                                                   51         38

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Bajaj                                              Tomasz Wozniak                                                                                                                   51         38
EasyScooter                                        Bajaj                                              Krzysztof Nowak                                                                                                                  50         39
EasyScooter                                        Keeway                                             Krzysztof Wozniak                                                                                                                49         40
EasyScooter                                        Aprilia                                            Krzysztof Zielinski                                                                                                              48         41
EasyScooter                                        Bajaj                                              Krzysztof Zielinski                                                                                                              48         41
EasyScooter                                        TGB                                                Krzysztof Wozniak                                                                                                                48         41
EasyScooter                                        Super Soco                                         Jan Nowak                                                                                                                        48         41
EasyScooter                                        Ducati                                             Piotr Wojcik                                                                                                                     48         41
EasyScooter                                        Aprilia                                            Krzysztof Nowak                                                                                                                  47         42
EasyScooter                                        Ducati                                             Krzysztof Zielinski                                                                                                              47         42
EasyScooter                                        E-Twow                                             Piotr Lewandowski                                                                                                                47         42

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Rieju                                              Krzysztof Nowak                                                                                                                  47         42
EasyScooter                                        Super Soco                                         Tomasz Szymanski                                                                                                                 47         42
EasyScooter                                        Super Soco                                         Krzysztof Zielinski                                                                                                              47         42
EasyScooter                                        Bajaj                                              Tomasz Wozniak                                                                                                                   46         43
EasyScooter                                        Peugeot                                            Tomasz Szymanski                                                                                                                 46         43
EasyScooter                                        Ducati                                             Krzysztof Wozniak                                                                                                                46         43
EasyScooter                                        TGB                                                Piotr Lewandowski                                                                                                                46         43
EasyScooter                                        Bajaj                                              Piotr Lewandowski                                                                                                                46         43
EasyScooter                                        TGB                                                Tomasz Szymanski                                                                                                                 46         43
EasyScooter                                        Aprilia                                            Krzysztof Wozniak                                                                                                                45         44
EasyScooter                                        Aprilia                                            Piotr Lewandowski                                                                                                                45         44

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Super Soco                                         Tomasz Wozniak                                                                                                                   44         45
EasyScooter                                        Peugeot                                            Piotr Wojcik                                                                                                                     44         45
EasyScooter                                        Bajaj                                              Krzysztof Wozniak                                                                                                                44         45
EasyScooter                                        Peugeot                                            Tomasz Wozniak                                                                                                                   44         45
EasyScooter                                        TGB                                                Jan Nowak                                                                                                                        44         45
EasyScooter                                        TGB                                                Piotr Wojcik                                                                                                                     44         45
EasyScooter                                        E-Twow                                             Tomasz Wozniak                                                                                                                   43         46
EasyScooter                                        E-Twow                                             Krzysztof Nowak                                                                                                                  43         46
EasyScooter                                        Gogoro                                             Tomasz Wozniak                                                                                                                   43         46
EasyScooter                                        Aprilia                                            Piotr Wojcik                                                                                                                     43         46
EasyScooter                                        E-Twow                                             Tomasz Szymanski                                                                                                                 43         46

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Ducati                                             Krzysztof Nowak                                                                                                                  42         47
EasyScooter                                        Bajaj                                              Jan Nowak                                                                                                                        41         48
EasyScooter                                        Malaguti                                           Jan Nowak                                                                                                                        41         48
EasyScooter                                        Peugeot                                            Krzysztof Zielinski                                                                                                              41         48
EasyScooter                                        TGB                                                Krzysztof Zielinski                                                                                                              41         48
EasyScooter                                        Super Soco                                         Krzysztof Nowak                                                                                                                  41         48
EasyScooter                                        Ducati                                             Tomasz Szymanski                                                                                                                 40         49
EasyScooter                                        Malaguti                                           Piotr Lewandowski                                                                                                                40         49
EasyScooter                                        Ducati                                             Piotr Lewandowski                                                                                                                40         49
EasyScooter                                        Malaguti                                           Krzysztof Wozniak                                                                                                                40         49
EasyScooter                                        Aprilia                                            Krzysztof Nowak                                                                                                                  40         49

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Ducati                                             Jan Nowak                                                                                                                        40         49
EasyScooter                                        Aprilia                                            Tomasz Wozniak                                                                                                                   39         50
EasyScooter                                        E-Twow                                             Jan Nowak                                                                                                                        39         50
EasyScooter                                        TGB                                                Tomasz Wozniak                                                                                                                   39         50
EasyScooter                                        Ducati                                             Tomasz Wozniak                                                                                                                   39         50
EasyScooter                                        Bajaj                                              Tomasz Szymanski                                                                                                                 38         51
EasyScooter                                        E-Twow                                             Krzysztof Wozniak                                                                                                                38         51
EasyScooter                                        Aprilia                                            Jan Nowak                                                                                                                        38         51
EasyScooter                                        Malaguti                                           Piotr Wojcik                                                                                                                     38         51
EasyScooter                                        Super Soco                                         Piotr Lewandowski                                                                                                                37         52
EasyScooter                                        Gogoro                                             Tomasz Wozniak                                                                                                                   37         52

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Ducati                                             Tomasz Wozniak                                                                                                                   37         52
EasyScooter                                        E-Twow                                             Piotr Wojcik                                                                                                                     36         53
EasyScooter                                        Honda                                              Tomasz Wozniak                                                                                                                   36         53
EasyScooter                                        Malaguti                                           Tomasz Wozniak                                                                                                                   36         53
EasyScooter                                        Aprilia                                            Tomasz Wozniak                                                                                                                   36         53
EasyScooter                                        Malaguti                                           Krzysztof Nowak                                                                                                                  36         53
EasyScooter                                        Malaguti                                           Tomasz Wozniak                                                                                                                   35         54
EasyScooter                                        E-Twow                                             Tomasz Wozniak                                                                                                                   35         54
EasyScooter                                        TGB                                                Tomasz Wozniak                                                                                                                   35         54
EasyScooter                                        Aprilia                                            Tomasz Szymanski                                                                                                                 34         55
EasyScooter                                        Honda                                              Krzysztof Wozniak                                                                                                                33         56

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Gogoro                                             Piotr Wojcik                                                                                                                     33         56
EasyScooter                                        Honda                                              Tomasz Szymanski                                                                                                                 32         57
EasyScooter                                        Moto Guzzi                                         Tomasz Wozniak                                                                                                                   32         57
EasyScooter                                        Gogoro                                             Tomasz Szymanski                                                                                                                 32         57
EasyScooter                                        Gogoro                                             Jan Nowak                                                                                                                        31         58
EasyScooter                                        Gogoro                                             Piotr Lewandowski                                                                                                                31         58
EasyScooter                                        Gogoro                                             Krzysztof Wozniak                                                                                                                31         58
EasyScooter                                        Yamaha                                             Tomasz Wozniak                                                                                                                   30         59
EasyScooter                                        Moto Guzzi                                         Krzysztof Nowak                                                                                                                  29         60
EasyScooter                                        Malaguti                                           Tomasz Szymanski                                                                                                                 29         60
EasyScooter                                        Sym                                                Piotr Wojcik                                                                                                                     29         60

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Gogoro                                             Krzysztof Zielinski                                                                                                              29         60
EasyScooter                                        Loncin                                             Krzysztof Wozniak                                                                                                                29         60
EasyScooter                                        Gogoro                                             Krzysztof Nowak                                                                                                                  29         60
EasyScooter                                        Moto Guzzi                                         Jan Nowak                                                                                                                        29         60
EasyScooter                                        Kawasaki                                           Tomasz Wozniak                                                                                                                   28         61
EasyScooter                                        Honda                                              Tomasz Wozniak                                                                                                                   28         61
EasyScooter                                        E-Twow                                             Krzysztof Zielinski                                                                                                              28         61
EasyScooter                                        Kawasaki                                           Krzysztof Wozniak                                                                                                                28         61
EasyScooter                                        Malaguti                                           Krzysztof Nowak                                                                                                                  27         62
EasyScooter                                        Sym                                                Piotr Lewandowski                                                                                                                27         62
EasyScooter                                        Gogoro                                             Krzysztof Nowak                                                                                                                  27         62

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Honda                                              Jan Nowak                                                                                                                        27         62
EasyScooter                                        Honda                                              Piotr Wojcik                                                                                                                     26         63
EasyScooter                                        Yamaha                                             Jan Nowak                                                                                                                        26         63
EasyScooter                                        Kawasaki                                           Piotr Lewandowski                                                                                                                26         63
EasyScooter                                        Malaguti                                           Krzysztof Zielinski                                                                                                              26         63
EasyScooter                                        Honda                                              Krzysztof Nowak                                                                                                                  26         63
EasyScooter                                        Loncin                                             Jan Nowak                                                                                                                        26         63
EasyScooter                                        Loncin                                             Krzysztof Nowak                                                                                                                  25         64
EasyScooter                                        Loncin                                             Tomasz Wozniak                                                                                                                   25         64
EasyScooter                                        Loncin                                             Piotr Wojcik                                                                                                                     25         64
EasyScooter                                        Yamaha                                             Tomasz Szymanski                                                                                                                 25         64

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Moto Guzzi                                         Krzysztof Nowak                                                                                                                  24         65
EasyScooter                                        Sym                                                Tomasz Szymanski                                                                                                                 23         66
EasyScooter                                        Yamaha                                             Piotr Wojcik                                                                                                                     23         66
EasyScooter                                        Moto Guzzi                                         Piotr Wojcik                                                                                                                     23         66
EasyScooter                                        Honda                                              Piotr Lewandowski                                                                                                                23         66
EasyScooter                                        Sym                                                Jan Nowak                                                                                                                        23         66
EasyScooter                                        Loncin                                             Krzysztof Nowak                                                                                                                  23         66
EasyScooter                                        Moto Guzzi                                         Tomasz Wozniak                                                                                                                   23         66
EasyScooter                                        Moto Guzzi                                         Tomasz Szymanski                                                                                                                 22         67
EasyScooter                                        Moto Guzzi                                         Krzysztof Wozniak                                                                                                                22         67
EasyScooter                                        Moto Guzzi                                         Piotr Lewandowski                                                                                                                22         67

NAZWA_WYPOZYCZALNI                                 NAZWA_PRODUCENTA                                   PRACOWNIK                                                                                             LICZBA_OBSLUZONYCH_WYPOZYCZEN    RANKING
-------------------------------------------------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------- ----------------------------- ----------
EasyScooter                                        Honda                                              Krzysztof Nowak                                                                                                                  21         68
EasyScooter                                        Kawasaki                                           Krzysztof Nowak                                                                                                                  21         68
EasyScooter                                        Yamaha                                             Krzysztof Nowak                                                                                                                  21         68
EasyScooter                                        Yamaha                                             Krzysztof Zielinski                                                                                                              21         68
EasyScooter                                        Honda                                              Krzysztof Zielinski                                                                                                              21         68
EasyScooter                                        Kawasaki                                           Tomasz Szymanski                                                                                                                 20         69
